episode,Episode_reward,Loss
0,1,inf
5,1,inf
10,1,inf
15,1,inf
20,0,inf
25,1,0.27154964208602905
30,1,0.25490933656692505
35,0,0.24257825314998627
40,2,0.24534077942371368
45,0,0.2568834125995636
50,1,0.2786254286766052
55,0,0.30079755187034607
60,1,0.21289150416851044
65,1,0.213901549577713
70,1,0.3123055100440979
75,1,0.26007920503616333
80,0,0.27163857221603394
85,1,0.18311718106269836
90,1,0.21950632333755493
95,0,0.3115108013153076
100,2,0.24112671613693237
105,0,0.17631784081459045
110,1,0.21144749224185944
115,0,0.1830872893333435
120,1,0.2923065721988678
125,1,0.28652286529541016
130,1,0.20103111863136292
135,1,0.26952481269836426
140,0,0.19133207201957703
145,1,0.23198187351226807
150,1,0.20324724912643433
155,0,0.25745531916618347
160,2,0.19132070243358612
165,0,0.284883052110672
170,1,0.2376381903886795
175,0,0.2653535306453705
180,1,0.20879364013671875
185,1,0.22038114070892334
190,1,0.240293949842453
195,1,0.1604856252670288
200,0,0.18933522701263428
205,1,0.24675296247005463
210,1,0.2088181972503662
215,0,0.29544708132743835
220,2,0.20281675457954407
225,0,0.3125455975532532
230,1,0.27636876702308655
235,0,0.21515755355358124
240,1,0.2387041449546814
245,1,0.2539744973182678
250,1,0.22683170437812805
255,1,0.24309512972831726
260,0,0.16613653302192688
265,1,0.17984706163406372
270,1,0.17273759841918945
275,0,0.3102269470691681
280,2,0.174185112118721
285,0,0.25032687187194824
290,1,0.21368998289108276
295,0,0.19005799293518066
