epoch,acc,loss,val_acc,val_loss
0,0.0714285746216774,2.2933313846588135,0.30000001192092896,2.199000358581543
1,0.5428571701049805,2.1037046909332275,0.36666667461395264,2.0816118717193604
2,0.6000000238418579,1.907510757446289,0.46666666865348816,1.9466800689697266
3,0.6428571343421936,1.6620756387710571,0.6000000238418579,1.7966700792312622
4,0.7428571581840515,1.4378342628479004,0.6000000238418579,1.6354764699935913
5,0.8285714387893677,1.1891558170318604,0.6333333253860474,1.4661192893981934
6,0.8714285492897034,0.9961786270141602,0.699999988079071,1.2985641956329346
7,0.9142857193946838,0.8147106766700745,0.7333333492279053,1.1474616527557373
8,0.9428571462631226,0.651687502861023,0.7333333492279053,1.0197468996047974
9,0.9714285731315613,0.5373963713645935,0.7333333492279053,0.9148775339126587
10,0.9714285731315613,0.4192366600036621,0.7666666507720947,0.8302673101425171
11,0.9714285731315613,0.3252970576286316,0.800000011920929,0.7648019194602966
12,0.9857142567634583,0.26801908016204834,0.800000011920929,0.7189742922782898
13,0.9857142567634583,0.1947103887796402,0.800000011920929,0.6873587369918823
14,0.9857142567634583,0.15468469262123108,0.800000011920929,0.6641737818717957
15,1.0,0.12416237592697144,0.800000011920929,0.644582986831665
16,0.9857142567634583,0.09020903706550598,0.8333333134651184,0.629109799861908
17,1.0,0.0754423588514328,0.8333333134651184,0.6154292821884155
18,1.0,0.06409874558448792,0.8333333134651184,0.5992849469184875
19,1.0,0.04581687971949577,0.8333333134651184,0.5836082100868225
20,1.0,0.035523008555173874,0.8666666746139526,0.5727479457855225
21,1.0,0.030301406979560852,0.8333333134651184,0.566097617149353
22,1.0,0.022693630307912827,0.8333333134651184,0.5618465542793274
23,1.0,0.01843174919486046,0.8333333134651184,0.5609375834465027
24,1.0,0.015183853916823864,0.8333333134651184,0.5639790296554565
25,1.0,0.013958674855530262,0.8333333134651184,0.5715029239654541
26,1.0,0.010359074920415878,0.8333333134651184,0.5827140808105469
27,1.0,0.009081325493752956,0.8333333134651184,0.5956399440765381
28,1.0,0.007075947243720293,0.8333333134651184,0.6085007786750793
