epoch,acc,loss,val_acc,val_loss
0,0.5285714268684387,1.1101093292236328,0.5,0.8301380276679993
1,0.5,1.1570165157318115,0.5333333611488342,0.7026110291481018
2,0.5142857432365417,0.8678373694419861,0.4000000059604645,0.7462326288223267
3,0.6142857074737549,1.0225709676742554,0.5,0.7090591192245483
4,0.5428571701049805,0.8170732855796814,0.46666666865348816,0.6988532543182373
5,0.48571428656578064,0.7776620388031006,0.5,0.6595332622528076
6,0.5428571701049805,0.7861044406890869,0.4333333373069763,0.6720371246337891
7,0.5428571701049805,0.7799342274665833,0.46666666865348816,0.6810239553451538
8,0.6142857074737549,0.7181137204170227,0.6333333253860474,0.6453871130943298
9,0.6000000238418579,0.6323111653327942,0.5666666626930237,0.6493550539016724
10,0.5714285969734192,0.6612955331802368,0.6000000238418579,0.6470623016357422
11,0.6428571343421936,0.722886323928833,0.5666666626930237,0.6613970398902893
12,0.6571428775787354,0.5984930992126465,0.5333333611488342,0.6818451285362244
13,0.6714285612106323,0.6207255125045776,0.5666666626930237,0.6933692693710327
