epoch,acc,loss,val_acc,val_loss
0,0.49468085169792175,0.6969185471534729,0.5,0.6909451484680176
1,0.478723406791687,0.693899929523468,0.5,0.6893129944801331
2,0.5957446694374084,0.6887927055358887,0.5,0.6849390864372253
3,0.4893617033958435,0.6913414001464844,0.5,0.6855833530426025
4,0.5106382966041565,0.692396342754364,0.5,0.681542158126831
5,0.5319148898124695,0.6885571479797363,0.7916666865348816,0.6772082448005676
6,0.585106372833252,0.6861237287521362,0.7916666865348816,0.6718847155570984
7,0.5531914830207825,0.6859981417655945,0.7916666865348816,0.6682941317558289
8,0.585106372833252,0.6958227157592773,0.7916666865348816,0.6697496771812439
9,0.5744680762290955,0.6828364729881287,0.7916666865348816,0.6639305949211121
10,0.6170212626457214,0.6782400608062744,0.7916666865348816,0.6591835618019104
11,0.5531914830207825,0.6858503222465515,0.7916666865348816,0.6561157703399658
12,0.563829779624939,0.6895393133163452,0.7916666865348816,0.6553787589073181
13,0.5957446694374084,0.6792828440666199,0.7916666865348816,0.6494191884994507
14,0.5957446694374084,0.6915305852890015,0.7916666865348816,0.6516905426979065
15,0.5744680762290955,0.6919375658035278,0.7916666865348816,0.6537842750549316
16,0.5744680762290955,0.6871402859687805,0.7916666865348816,0.6517818570137024
17,0.5744680762290955,0.6908681392669678,0.7916666865348816,0.652476966381073
18,0.6170212626457214,0.6878116726875305,0.7916666865348816,0.652741014957428
